ACCESSION,Phenotype,TREATMENT,SEM_RN_mean,N1_RN_mean,N2_RN_mean,N3_RN_mean,N4_RN_mean,N5_RN_mean,N6_RN_mean,SEM_Angle_mean,N1_Angle_mean,N2_Angle_mean,N3_Angle_mean,N4_Angle_mean,N5_Angle_mean,N6_Angle_mean,Aper,Nitrogen_treatment,Tag,density,respiration,Optimal_N,Min_N,Optimal_P,Min_P,Pho_treatment,Diameter_scaling
13_420,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.023787745,1044.857041,674.8925605,60,30,6,1.279064379
13_445,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.020445828,1035.157396,668.129504,60,30,6,1.298314488
14_170,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.059728472,1156.430189,767.6297261,60,30,6,1.16424076
14_195,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.056386555,1146.730544,760.8666695,60,30,6,1.183490869
14_220,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.053044638,1137.030899,754.1036129,60,30,6,1.202740978
14_245,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.049702722,1127.331254,747.3405564,60,30,6,1.221991086
14_270,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.046360805,1117.63161,740.5774998,60,30,6,1.241241195
14_295,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.043018888,1107.931965,733.8144432,60,30,6,1.260491304
14_320,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.039676972,1098.23232,727.0513866,60,30,6,1.279741413
14_345,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.036335055,1088.532675,720.2883301,60,30,6,1.298991521
14_370,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.032993138,1078.83303,713.5252735,60,30,6,1.31824163
14_395,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.029651222,1069.133386,706.7622169,60,30,6,1.337491739
14_420,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.026309305,1059.433741,699.9991604,60,30,6,1.356741848
14_445,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.022967388,1049.734096,693.2361038,60,30,6,1.375991957
15_170,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.062250032,1171.006889,792.7363259,60,30,6,1.241918228
15_195,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.058908115,1161.307244,785.9732693,60,30,6,1.261168337
15_220,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.055566198,1151.607599,779.2102127,60,30,6,1.280418446
15_245,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.052224282,1141.907954,772.4471562,60,30,6,1.299668555
15_270,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.048882365,1132.208309,765.6840996,60,30,6,1.318918663
15_295,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.045540448,1122.508665,758.921043,60,30,6,1.338168772
15_320,NA,HN,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.03,15,P1,0.094,0.042198532,1112.80902,752.1579865,60,30,6,1.357418881
